binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev3,
18211299,39451817,-742390900,55811446,27145861,48430761,-1877517511,183194460930,
11948331,20421638,-603758812,51917552,31606620,34033851,-2452649009,171213686894,
6016632,19294287,-603446145,68111664,24281472,32289544,-1040555718,184959226377,
13284058,21360977,-601552653,66784998,24220885,33727791,-7083250496,175970171870,
6033758,22401498,-601317647,85774657,17324847,35909351,-177461165,172980199283,
6688116,22845649,-600894801,22590271,16874446,39049438,-150622206,159111378949,
6277272,20943076,-600964403,31587436,22652221,35864786,-916015779,205867026949,
6201585,22054560,-600926372,59046556,24956478,70825258,-2323911094,204269663211,
11716092,19464344,-600895001,33060397,19155195,29873824,-346909870,172564430021,
6104759,21504991,-600998555,28010407,17964964,34761498,-394757848,196710979164,
