binDP,binDPv2,binCPchoco,binCPgoogle,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
363976,183244,175503334,17223883,18047281,10489490,7446625,-30360683,9775806,4436795,1956697,18338731,13740501,16095346,
183863,98908,3547216,617074,17948257,8567143,7395182,-8913760,2236294,2285439,974055,18688639,7306825,18440587,
370559,83412,5944190,737517,10869292,10934000,6509487,-6996028,2467316,2357535,1351394,26603447,10198344,15866648,
270141,68365,7392345,1000927,100821946,16941728,9466512,-4608107,1956267,1599912,1086142,15471960,6574021,19135855,
302901,41195,4092714,750750,14970112,8315732,7449245,-4375161,2004172,2168201,1257168,13723667,6666916,11951705,
244230,50058,3695363,740028,11330675,8208389,6958938,-5940388,1930780,1653981,1041058,13812778,5934200,16647565,
307032,72751,2430847,1031110,14475316,33093563,6737039,-2679957,1985209,1714373,1102032,19450458,6124275,14614890,
277215,65140,2218609,939118,16232725,9832435,7088654,-2758480,2318270,2291650,802844,23024429,7195757,18064669,
309091,22580,2110535,729663,21366224,9373771,8499443,-2976824,2196211,2201596,910015,15226832,6243559,14095835,
271184,39408,2179448,803792,12462901,8271774,6197080,-3144198,22282284,4354591,1989818,25902817,9283387,16956019,
