DP,CPgoogle,MIP,MIPCPLEX,ConstraintChoco,DPinCPgoogle,DPinMIP,DPinMIPCPLEX,DPinMIPGUROBI,
184968,29915983,31010899,12973427,-167685726,18912102,29870987,1755880,23217202,
290346,658010,16495824,455729691,-1553117,1135549,3365350,7879059,7985483,
857876,925741,16340356,12431968,-1041880,984199,4135065,1840744,6873628,
261070,696208,11934908,70737773,-929055,1465412,3475211,2051821,6343510,
241704,586986,52039276,9933636,-928118,1438077,2530532,1617493,6147628,
192977,568009,10855919,15523404,-1115820,1049288,3308333,1744636,7670241,
285029,699175,13760960,4348316,-872785,761533,2372005,1635855,6025768,
207367,567402,11532170,6269537,-911317,1330266,2219563,1393334,6319254,
188728,522762,18978511,14072601,-1028546,1417289,2997067,1554495,6513733,
155653,600758,16740786,15481948,-844020,970037,2640817,1574900,6637213,
